130.191.36.36	personnel-2.sdsu.edu
130.191.36.37	personnel-2-mac1.sdsu.edu
130.191.36.38	personnel-2-mac2.sdsu.edu
130.191.36.39	personnel-2-mac3.sdsu.edu
130.191.36.40	personnel-2-mac4.sdsu.edu
130.191.36.41	personnel-2-mac5.sdsu.edu
130.191.36.42	personnel-2-mac6.sdsu.edu
130.191.36.43	personnel-2-mac7.sdsu.edu
130.191.36.44	personnel-2-mac8.sdsu.edu
130.191.36.45	personnel-2-mac9.sdsu.edu
130.191.36.46	personnel-2-mac10.sdsu.edu
130.191.36.47	personnel-2-mac11.sdsu.edu
130.191.36.48	personnel-2-mac12.sdsu.edu
130.191.36.49	personnel-2-mac13.sdsu.edu
130.191.36.50	personnel-2-mac14.sdsu.edu
130.191.36.51	personnel-2-mac15.sdsu.edu
130.191.36.52	personnel-2-mac16.sdsu.edu
130.191.36.53	personnel-2-mac17.sdsu.edu
130.191.36.54	personnel-2-mac18.sdsu.edu
130.191.36.55	personnel-2-mac19.sdsu.edu
130.191.36.56	personnel-2-mac20.sdsu.edu
130.191.36.57	personnel-2-mac21.sdsu.edu
130.191.36.58	personnel-2-mac22.sdsu.edu
130.191.36.59	personnel-2-mac23.sdsu.edu
130.191.36.60	personnel-2-mac24.sdsu.edu
130.191.36.61	personnel-2-mac25.sdsu.edu
130.191.36.62	personnel-2-mac26.sdsu.edu
130.191.36.63	personnel-2-mac27.sdsu.edu
130.191.36.64	personnel-2-mac28.sdsu.edu
130.191.36.65	personnel-2-mac29.sdsu.edu
130.191.36.66	personnel-2-mac30.sdsu.edu
130.191.37.6	cashprt.sdsu.edu
130.191.37.24	oldmerryweather.sdsu.edu
130.191.37.49	tinkerbell.sdsu.edu
130.191.37.61	sandal.sdsu.edu
130.191.37.112	debr.sdsu.edu
130.191.37.113	leader.sdsu.edu
130.191.38.2	admin-1.sdsu.edu
130.191.38.3	admin-1-mac1.sdsu.edu
130.191.38.4	admin-1-mac2.sdsu.edu
130.191.38.5	admin-1-mac3.sdsu.edu
130.191.38.6	admin-1-mac4.sdsu.edu
130.191.38.7	admin-1-mac5.sdsu.edu
130.191.38.8	admin-1-mac6.sdsu.edu
130.191.38.9	admin-1-mac7.sdsu.edu
130.191.38.10	admin-1-mac8.sdsu.edu
130.191.38.11	admin-1-mac9.sdsu.edu
130.191.38.12	admin-1-mac10.sdsu.edu
130.191.38.13	admin-1-mac11.sdsu.edu
130.191.38.14	admin-1-mac12.sdsu.edu
130.191.38.15	admin-1-mac13.sdsu.edu
130.191.38.16	admin-1-mac14.sdsu.edu
130.191.38.17	admin-1-mac15.sdsu.edu
130.191.38.18	admin-1-mac16.sdsu.edu
130.191.38.19	admin-1-mac17.sdsu.edu
130.191.38.20	admin-1-mac18.sdsu.edu
130.191.38.21	admin-1-mac19.sdsu.edu
130.191.38.22	admin-1-mac20.sdsu.edu
130.191.38.23	admin-1-mac21.sdsu.edu
130.191.38.24	admin-1-mac22.sdsu.edu
130.191.38.25	riny.sdsu.edu
130.191.38.26	admin-1-mac24.sdsu.edu
130.191.38.27	admin-1-mac25.sdsu.edu
130.191.38.28	admin-1-mac26.sdsu.edu
130.191.38.29	admin-1-mac27.sdsu.edu
130.191.38.30	admin-1-mac28.sdsu.edu
130.191.38.31	admin-1-mac29.sdsu.edu
130.191.38.32	admin-1-mac30.sdsu.edu
130.191.38.43	campo.sdsu.edu
130.191.38.44	dave.sdsu.edu
130.191.38.45	hal2001.sdsu.edu
130.191.38.46	hal2006.sdsu.edu
130.191.38.66	proc1.sdsu.edu
130.191.38.94	nqa013f30.sdsu.edu
130.191.38.95	nqa01a7ee.sdsu.edu
130.191.38.125	aladdin.sdsu.edu
130.191.38.129	ipost.sdsu.edu
130.191.39.2	math-lw2.sdsu.edu
130.191.39.3	math-lw3.sdsu.edu
130.191.40.12	huarache.sdsu.edu
130.191.40.66	bronco.sdsu.edu
130.191.40.68	hudson.sdsu.edu
130.191.40.69	dragonfly.sdsu.edu
130.191.40.70	middle-earth.sdsu.edu
130.191.40.71	cosdedjowin10.sdsu.edu
130.191.40.72	cosdedjowin7.sdsu.edu
130.191.40.73	shannara.sdsu.edu
130.191.40.74	willowlands.sdsu.edu
130.191.40.75	cosstsneber.sdsu.edu
130.191.40.76	spindrift.sdsu.edu
130.191.40.129	tekhouse.sdsu.edu
130.191.40.130	cosds1.sdsu.edu
130.191.40.132	cosbus01.sdsu.edu
130.191.40.133	funhouse.sdsu.edu
130.191.40.134	cosbilic1.sdsu.edu
130.191.41.11	sdmms.sdsu.edu
130.191.41.32	schatzle.sdsu.edu
130.191.41.191	I-am.sdsu.edu
130.191.42.8	budplan.sdsu.edu
130.191.43.14	globalviewer.sdsu.edu
130.191.43.40	paul.sdsu.edu
130.191.43.41	jeff.sdsu.edu
130.191.48.5	ford.ai.sdsu.edu
130.191.48.6	arnold.ai.sdsu.edu
130.191.48.8	meet.ai.sdsu.edu
130.191.48.20	sa8350.sdsu.edu
130.191.48.33	urd-advreport.sdsu.edu
130.191.48.66	urd-advdb.sdsu.edu
130.191.48.70	dreambox-sql.sdsu.edu
130.191.48.71	dbsqltst.sdsu.edu
130.191.48.105	hypert1.adtest.sdsu.edu
130.191.48.106	hypert2.adtest.sdsu.edu
130.191.48.109	adsccmt1.adtest.sdsu.edu
130.191.48.112	adsqlt.adtest.sdsu.edu
130.191.48.113	fimt1.adtest.sdsu.edu
130.191.48.115	addct1.adtest.sdsu.edu
130.191.48.122	idmtest0.adtest.sdsu.edu
130.191.48.129	oncampusliving.sdsu.edu
130.191.48.130	oncampuslivingtest.sdsu.edu
130.191.48.161	rezaccess.sdsu.edu
